

 -- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    aten::max_pool2d_with_indices         0.03%      26.614us         0.04%      33.691us      33.691us           0 b           0 b     588.00 Mb           0 b             1  
                    aten::resize_         0.03%      31.703us         0.03%      31.703us       0.737us           0 b           0 b     588.98 Mb     588.98 Mb            43  
        aten::adaptive_avg_pool2d         0.00%       4.124us         0.03%      27.591us      27.591us           0 b           0 b     512.00 Kb           0 b             1  
                       aten::mean         0.02%      18.436us         0.03%      23.467us      23.467us           0 b           0 b     512.00 Kb           0 b             1  
                       aten::view         0.02%      19.976us         0.02%      19.976us       1.537us           0 b           0 b           0 b           0 b            13  
                      aten::zeros         0.01%       9.596us         0.02%      14.907us      14.907us           4 b           0 b           0 b           0 b             1  
                          aten::t         0.01%       6.184us         0.01%      10.592us      10.592us           0 b           0 b           0 b           0 b             1  
                    aten::flatten         0.00%       3.293us         0.01%       8.188us       8.188us           0 b           0 b           0 b           0 b             1  
                  aten::transpose         0.00%       2.097us         0.00%       4.408us       4.408us           0 b           0 b           0 b           0 b             1  
                     aten::expand         0.00%       2.103us         0.00%       3.021us       3.021us           0 b           0 b           0 b           0 b             1  
                      aten::zero_         0.00%       0.985us         0.00%       0.985us       0.985us           0 b           0 b           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 93.649ms


 -- SIMPLIFIED 90.3125 --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.63%       1.501ms        99.98%      92.196ms      92.196ms          -4 b     -22.52 Kb           0 b      -8.19 Gb             1  
                      aten::copy_        95.04%      87.641ms        95.04%      87.641ms       3.652ms           0 b           0 b           0 b           0 b            24  
                         aten::to         0.07%      62.468us        95.02%      87.621ms       3.651ms           0 b           0 b      22.50 Kb           0 b            24  
                     aten::conv2d         0.07%      65.908us         1.40%       1.289ms      64.432us           0 b           0 b       2.15 Gb           0 b            20  
                aten::convolution         0.08%      72.137us         1.33%       1.223ms      61.137us           0 b           0 b       2.15 Gb           0 b            20  
               aten::_convolution         0.13%     120.257us         1.25%       1.151ms      57.530us           0 b           0 b       2.15 Gb           0 b            20  
          aten::cudnn_convolution         1.04%     959.590us         1.12%       1.030ms      51.517us           0 b           0 b       2.15 Gb       2.15 Gb            20  
            aten::constant_pad_nd         0.15%     136.832us         0.51%     469.331us      39.111us           0 b           0 b       1.52 Gb           0 b            12  
                      aten::index         0.31%     285.880us         0.41%     381.995us      31.833us           0 b           0 b       1.65 Gb           0 b            12  
                        aten::add         0.35%     319.005us         0.35%     319.005us      15.950us           0 b           0 b       2.30 Gb       2.30 Gb            20  
                      aten::relu_         0.14%     130.139us         0.28%     256.987us      15.117us           0 b           0 b           0 b           0 b            17  
                      aten::empty         0.19%     171.793us         0.19%     171.793us       2.771us      22.52 Kb      22.52 Kb       3.17 Gb       3.17 Gb            62  
                      aten::slice         0.11%      99.659us         0.14%     128.100us       5.337us           0 b           0 b           0 b           0 b            24  
                 aten::threshold_         0.14%     126.848us         0.14%     126.848us       7.462us           0 b           0 b           0 b           0 b            17  
                      aten::fill_         0.10%      93.762us         0.10%      93.762us       7.814us           0 b           0 b           0 b           0 b            12  
                       aten::add_         0.10%      90.396us         0.10%      90.396us      11.299us           0 b           0 b           0 b           0 b             8  
                     aten::linear         0.01%       8.583us         0.09%      79.541us      79.541us           0 b           0 b    1000.00 Kb           0 b             1  
                     aten::narrow         0.02%      22.849us         0.08%      78.054us       6.505us           0 b           0 b           0 b           0 b            12  
                      aten::addmm         0.06%      52.450us         0.06%      59.615us      59.615us           0 b           0 b    1000.00 Kb           0 b             1  
                    aten::reshape         0.03%      29.624us         0.05%      45.750us       3.813us           0 b           0 b           0 b           0 b            12  
              aten::empty_strided         0.05%      45.342us         0.05%      45.342us       3.779us           0 b           0 b      22.50 Kb      22.50 Kb            12  
                 aten::as_strided         0.05%      44.958us         0.05%      44.958us       1.183us           0 b           0 b           0 b           0 b            38  
                 aten::max_pool2d         0.00%       4.369us         0.04%      33.956us      33.956us           0 b           0 b     588.00 Mb           0 b             1  
    aten::max_pool2d_with_indices         0.02%      22.891us         0.03%      29.587us      29.587us           0 b           0 b     588.00 Mb           0 b             1  
        aten::adaptive_avg_pool2d         0.01%       6.342us         0.03%      29.427us      29.427us           0 b           0 b     512.00 Kb           0 b             1  
                    aten::resize_         0.03%      28.612us         0.03%      28.612us       0.665us           0 b           0 b     588.98 Mb     588.98 Mb            43  
                       aten::mean         0.02%      19.954us         0.03%      23.085us      23.085us           0 b           0 b     512.00 Kb           0 b             1  
                       aten::view         0.02%      21.953us         0.02%      21.953us       1.689us           0 b           0 b           0 b           0 b            13  
                      aten::zeros         0.01%       9.840us         0.02%      14.630us      14.630us           4 b           0 b           0 b           0 b             1  
                          aten::t         0.01%       8.227us         0.01%      11.343us      11.343us           0 b           0 b           0 b           0 b             1  
                    aten::flatten         0.00%       2.657us         0.01%       8.484us       8.484us           0 b           0 b           0 b           0 b             1  
                  aten::transpose         0.00%       2.016us         0.00%       3.116us       3.116us           0 b           0 b           0 b           0 b             1  
                     aten::expand         0.00%       2.338us         0.00%       3.031us       3.031us           0 b           0 b           0 b           0 b             1  
                      aten::zero_         0.00%       0.877us         0.00%       0.877us       0.877us           0 b           0 b           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 92.211ms
