-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference        17.91%       3.222ms        99.94%      17.983ms      17.983ms          -4 b     -21.42 Mb             1  
                     aten::conv2d         1.04%     186.286us        55.10%       9.914ms     177.041us       7.44 Mb           0 b            56  
                aten::convolution         0.90%     161.847us        54.06%       9.728ms     173.715us       7.44 Mb           0 b            56  
               aten::_convolution         2.24%     402.815us        53.16%       9.566ms     170.824us       7.44 Mb     -73.50 Kb            56  
       aten::_convolution_nogroup         1.25%     224.209us        31.30%       5.631ms      93.857us       4.60 Mb           0 b            60  
                aten::thnn_conv2d         0.87%     157.418us        29.95%       5.388ms      89.807us       4.60 Mb    -661.50 Kb            60  
        aten::thnn_conv2d_forward         7.48%       1.347ms        29.07%       5.231ms      87.183us       5.25 Mb           0 b            60  
         aten::mkldnn_convolution        18.00%       3.239ms        18.42%       3.314ms     174.426us       2.84 Mb           0 b            19  
                         aten::mm        15.49%       2.787ms        15.49%       2.787ms      77.405us           0 b           0 b            36  
                 aten::batch_norm         0.63%     114.169us         9.88%       1.779ms      31.761us       7.44 Mb           0 b            56  
     aten::_batch_norm_impl_index         1.17%     210.245us         9.25%       1.664ms      29.723us       7.44 Mb           0 b            56  
          aten::native_batch_norm         5.10%     918.014us         7.85%       1.412ms      25.222us       7.44 Mb     -63.20 Kb            56  
                 aten::max_pool2d         0.03%       6.210us         6.68%       1.203ms       1.203ms     294.00 Kb    -588.00 Kb             1  
    aten::max_pool2d_with_indices         6.62%       1.191ms         6.65%       1.196ms       1.196ms     882.00 Kb           0 b             1  
                 aten::empty_like         1.53%     275.495us         3.07%     552.273us       3.001us      10.62 Mb           0 b           184  
                      aten::empty         2.63%     473.679us         2.63%     473.679us       1.025us      13.47 Mb      13.47 Mb           462  
                        aten::cat         0.36%      65.474us         2.56%     460.212us      27.071us       3.19 Mb           0 b            17  
                     aten::narrow         0.52%      94.275us         2.49%     448.601us       4.673us           0 b           0 b            96  
                     aten::select         1.78%     320.259us         2.24%     403.866us       2.244us           0 b           0 b           180  
