-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.13%     953.062us        99.99%      84.062ms      84.062ms          -4 b     -62.62 Mb             1  
                     aten::conv2d         0.09%      78.883us        60.95%      51.239ms       3.202ms      56.66 Mb           0 b            16  
                aten::convolution         0.09%      74.014us        60.85%      51.160ms       3.197ms      56.66 Mb           0 b            16  
               aten::_convolution         0.16%     132.651us        60.76%      51.086ms       3.193ms      56.66 Mb           0 b            16  
         aten::mkldnn_convolution        60.50%      50.865ms        60.61%      50.953ms       3.185ms      56.66 Mb           0 b            16  
                     aten::linear         0.02%      14.544us        20.22%      17.004ms       5.668ms      35.91 Kb           0 b             3  
                      aten::addmm        20.14%      16.929ms        20.17%      16.958ms       5.653ms      35.91 Kb      35.91 Kb             3  
                 aten::max_pool2d         0.06%      48.370us        16.14%      13.567ms       2.713ms       5.84 Mb     -11.68 Mb             5  
    aten::max_pool2d_with_indices        16.03%      13.480ms        16.08%      13.518ms       2.704ms      17.51 Mb           0 b             5  
                      aten::relu_         0.09%      75.859us         1.50%       1.258ms      69.879us           0 b           0 b            18  
                 aten::threshold_         1.41%       1.182ms         1.41%       1.182ms      65.664us           0 b           0 b            18  
                      aten::empty         0.10%      85.840us         0.10%      85.840us       2.683us      56.66 Mb      56.66 Mb            32  
                    aten::resize_         0.04%      32.218us         0.04%      32.218us       2.929us      17.61 Mb      17.61 Mb            11  
                          aten::t         0.02%      14.109us         0.04%      31.284us      10.428us           0 b           0 b             3  
        aten::adaptive_avg_pool2d         0.00%       2.198us         0.03%      27.570us      27.570us      98.00 Kb           0 b             1  
       aten::_adaptive_avg_pool2d         0.03%      23.260us         0.03%      25.372us      25.372us      98.00 Kb           0 b             1  
                      aten::copy_         0.02%      19.720us         0.02%      19.720us       6.573us           0 b           0 b             3  
                  aten::transpose         0.02%      12.765us         0.02%      17.175us       5.725us           0 b           0 b             3  
                aten::as_strided_         0.02%      16.570us         0.02%      16.570us       1.036us           0 b           0 b            16  
                      aten::zeros         0.01%       7.333us         0.01%      11.926us      11.926us           4 b           0 b             1  
