-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         4.83%       5.080ms        99.99%     105.094ms     105.094ms          -4 b    -124.62 Mb             1  
                     aten::conv2d         0.29%     303.896us        82.89%      87.124ms     837.727us      61.92 Mb           0 b           104  
                aten::convolution         0.25%     267.811us        82.60%      86.820ms     834.805us      61.92 Mb           0 b           104  
               aten::_convolution         0.50%     530.379us        82.35%      86.552ms     832.230us      61.92 Mb           0 b           104  
       aten::_convolution_nogroup         0.22%     232.165us        61.85%      65.007ms     970.254us      47.66 Mb           0 b            67  
                aten::thnn_conv2d         0.18%     186.366us        61.61%      64.750ms     966.419us      47.66 Mb           0 b            67  
        aten::thnn_conv2d_forward         1.14%       1.201ms        61.43%      64.564ms     963.638us      47.66 Mb           0 b            67  
                         aten::mm        59.04%      62.056ms        59.04%      62.056ms     926.208us           0 b           0 b            67  
         aten::mkldnn_convolution        19.88%      20.893ms        19.99%      21.015ms     567.960us      14.26 Mb           0 b            37  
                 aten::batch_norm         0.19%     204.457us         7.10%       7.458ms      71.709us      61.92 Mb           0 b           104  
     aten::_batch_norm_impl_index         0.74%     779.690us         6.90%       7.253ms      69.743us      61.92 Mb           0 b           104  
          aten::native_batch_norm         5.27%       5.538ms         6.08%       6.395ms      61.486us      61.92 Mb    -411.50 Kb           104  
                 aten::max_pool2d         0.01%       7.712us         2.61%       2.741ms       2.741ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         2.59%       2.727ms         2.60%       2.733ms       2.733ms       2.30 Mb           0 b             1  
                      aten::relu_         0.28%     297.904us         1.18%       1.237ms      12.372us           0 b           0 b           100  
                       aten::add_         0.99%       1.041ms         0.99%       1.041ms      31.557us           0 b           0 b            33  
                 aten::threshold_         0.89%     939.341us         0.89%     939.341us       9.393us           0 b           0 b           100  
                 aten::empty_like         0.39%     412.489us         0.82%     856.695us       2.746us      62.32 Mb           0 b           312  
                      aten::empty         0.68%     713.643us         0.68%     713.643us       1.081us      76.59 Mb      76.59 Mb           660  
