-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
     aten::thnn_conv2d_forward        30.09%      36.380ms        63.95%      77.317ms      32.323us      27.01 Mb           0 b          2392  
                  aten::narrow         3.34%       4.042ms        13.64%      16.492ms       3.482us           0 b           0 b          4737  
                  aten::select         6.87%       8.312ms        11.91%      14.404ms       2.007us           0 b           0 b          7176  
                   aten::slice         8.90%      10.762ms        10.39%      12.565ms       2.636us           0 b           0 b          4767  
                  aten::addmm_         8.15%       9.851ms         8.15%       9.851ms       4.188us           0 b           0 b          2352  
              aten::as_strided         7.23%       8.747ms         7.23%       8.747ms       0.609us           0 b           0 b         14369  
                    aten::view         3.57%       4.318ms         3.57%       4.318ms       0.875us           0 b           0 b          4935  
                 aten::reshape         2.24%       2.706ms         3.34%       4.033ms       1.665us           0 b           0 b          2422  
                 aten::resize_         2.96%       3.574ms         2.96%       3.574ms       0.752us      28.13 Mb      28.13 Mb          4753  
               aten::unsqueeze         2.03%       2.455ms         2.72%       3.285ms       1.373us           0 b           0 b          2392  
                   aten::empty         2.03%       2.453ms         2.03%       2.453ms       0.337us       7.31 Mb       7.31 Mb          7271  
                     aten::add         0.99%       1.191ms         0.99%       1.191ms      22.909us       5.25 Mb       5.25 Mb            52  
         aten::constant_pad_nd         0.16%     198.094us         0.59%     717.011us      23.900us       1.85 Mb           0 b            30  
      aten::mkldnn_convolution         0.58%     696.971us         0.59%     713.537us     237.846us     857.50 Kb           0 b             3  
                      aten::mm         0.57%     688.700us         0.57%     688.700us      17.217us           0 b           0 b            40  
                   aten::index         0.44%     528.083us         0.57%     685.794us      22.860us       3.53 Mb           0 b            30  
                     aten::cat         0.12%     150.740us         0.48%     579.223us      64.358us       1.11 Mb           0 b             9  
       aten::_nnpack_available         0.44%     533.595us         0.44%     533.595us       0.223us           0 b           0 b          2392  
                    aten::_cat         0.33%     400.205us         0.35%     428.483us      47.609us       1.11 Mb           0 b             9  
     aten::adaptive_avg_pool2d         0.02%      24.541us         0.31%     375.391us      37.539us      10.09 Kb           0 b            10  
                    aten::mean         0.04%      52.478us         0.29%     350.850us      35.085us      10.09 Kb           0 b            10  
                  aten::linear         0.01%       6.890us         0.25%     301.178us     150.589us       7.91 Kb           0 b             2  
                   aten::addmm         0.23%     272.124us         0.23%     282.847us     141.424us       7.91 Kb       7.91 Kb             2  
                   aten::fill_         0.15%     186.662us         0.15%     186.662us       4.667us           0 b           0 b            40  
              aten::hardswish_         0.13%     160.312us         0.13%     160.312us       8.437us           0 b           0 b            19  
                     aten::mul         0.10%     124.675us         0.13%     157.181us      17.465us       1.09 Mb           0 b             9  
                    aten::div_         0.07%      80.455us         0.13%     155.453us      15.545us           0 b         -40 b            10  
                   aten::copy_         0.13%     151.186us         0.13%     151.186us       3.600us           0 b           0 b            42  
                     aten::sum         0.09%     104.794us         0.12%     142.919us      14.292us      10.09 Kb           0 b            10  
              aten::is_nonzero         0.03%      34.496us         0.10%     120.074us       4.002us           0 b           0 b            30  
                      aten::to         0.04%      51.281us         0.08%      93.736us       2.343us          40 b           0 b            40  
                   aten::relu_         0.03%      36.321us         0.08%      92.231us       6.588us           0 b           0 b            14  
                    aten::item         0.03%      38.893us         0.07%      85.578us       2.853us           0 b           0 b            30  
              aten::threshold_         0.05%      55.910us         0.05%      55.910us       3.994us           0 b           0 b            14  
     aten::_local_scalar_dense         0.04%      46.685us         0.04%      46.685us       1.556us           0 b           0 b            30  
                    aten::add_         0.03%      35.187us         0.03%      35.187us       5.865us           0 b           0 b             6  
            aten::hardsigmoid_         0.02%      30.144us         0.02%      30.144us       3.349us           0 b           0 b             9  
                  aten::detach         0.01%      14.509us         0.01%      14.509us       0.363us           0 b           0 b            40  
           aten::empty_strided         0.01%      14.105us         0.01%      14.105us       1.410us          40 b          40 b            10  
                       aten::t         0.01%       6.152us         0.01%      11.441us       5.720us           0 b           0 b             2  
                   aten::zeros         0.01%       7.199us         0.01%      11.127us      11.127us           4 b           0 b             1  
                 aten::flatten         0.00%       2.618us         0.00%       5.689us       5.689us           0 b           0 b             1  
               aten::transpose         0.00%       3.494us         0.00%       5.289us       2.644us           0 b           0 b             2  
                  aten::expand         0.00%       3.355us         0.00%       4.288us       2.144us           0 b           0 b             2  
             aten::as_strided_         0.00%       2.503us         0.00%       2.503us       0.834us           0 b           0 b             3  
                   aten::zero_         0.00%       1.354us         0.00%       1.354us       1.354us           0 b           0 b             1  
                aten::dropout_         0.00%       0.844us         0.00%       0.844us       0.844us           0 b           0 b             1  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 120.907ms
