-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         4.99%       2.809ms        99.99%      56.312ms      56.312ms          -4 b     -10.69 Mb             1  
                     aten::conv2d         0.25%     138.101us        88.12%      49.631ms     886.271us       3.91 Mb           0 b            56  
                aten::convolution         0.24%     135.247us        87.88%      49.493ms     883.805us       3.91 Mb           0 b            56  
               aten::_convolution         6.06%       3.414ms        87.64%      49.358ms     881.390us       3.91 Mb    -790.12 Kb            56  
       aten::_convolution_nogroup         4.16%       2.341ms        68.75%      38.722ms      36.256us       2.76 Mb           0 b          1068  
                aten::thnn_conv2d         3.51%       1.974ms        64.17%      36.139ms      33.838us       2.76 Mb      -6.94 Mb          1068  
        aten::thnn_conv2d_forward        36.10%      20.334ms        60.66%      34.165ms      31.990us       9.70 Mb           0 b          1068  
                     aten::narrow         3.07%       1.727ms        12.23%       6.889ms       3.285us           0 b           0 b          2097  
                      aten::slice         7.74%       4.358ms         9.16%       5.161ms       2.461us           0 b           0 b          2097  
                     aten::select         6.78%       3.818ms         8.66%       4.878ms       1.522us           0 b           0 b          3204  
                 aten::as_strided         3.97%       2.234ms         3.97%       2.234ms       0.350us           0 b           0 b          6388  
                      aten::empty         3.55%       2.001ms         3.55%       2.001ms       0.574us       6.38 Mb       6.38 Mb          3486  
                    aten::reshape         2.03%       1.142ms         3.01%       1.696ms       1.588us           0 b           0 b          1068  
                    aten::resize_         2.98%       1.677ms         2.98%       1.677ms       0.785us      12.63 Mb      12.63 Mb          2137  
                  aten::unsqueeze         1.96%       1.106ms         2.59%       1.459ms       1.367us           0 b           0 b          1068  
                 aten::batch_norm         0.20%     112.542us         2.47%       1.391ms      24.838us       3.91 Mb           0 b            56  
     aten::_batch_norm_impl_index         0.35%     198.885us         2.27%       1.278ms      22.829us       3.91 Mb           0 b            56  
                       aten::view         2.22%       1.248ms         2.22%       1.248ms       0.548us           0 b           0 b          2276  
                     aten::addmm_         2.01%       1.131ms         2.01%       1.131ms       1.096us           0 b           0 b          1032  
