-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference        15.63%       3.338ms        99.95%      21.341ms      21.341ms          -4 b     -30.88 Mb             1  
                     aten::conv2d         0.96%     204.763us        58.92%      12.580ms     224.645us      10.56 Mb           0 b            56  
                aten::convolution         0.76%     161.652us        57.96%      12.375ms     220.988us      10.56 Mb           0 b            56  
               aten::_convolution         2.01%     428.132us        57.20%      12.214ms     218.101us      10.56 Mb     -73.50 Kb            56  
       aten::_convolution_nogroup         1.00%     212.565us        39.85%       8.509ms     141.821us       6.84 Mb           0 b            60  
                aten::thnn_conv2d         0.77%     165.443us        38.75%       8.275ms     137.912us       6.84 Mb    -661.50 Kb            60  
        aten::thnn_conv2d_forward         6.36%       1.359ms        37.98%       8.109ms     135.155us       7.49 Mb           0 b            60  
                         aten::mm        26.42%       5.642ms        26.42%       5.642ms     156.721us           0 b           0 b            36  
         aten::mkldnn_convolution        13.91%       2.970ms        14.37%       3.069ms     161.526us       3.71 Mb           0 b            19  
                 aten::batch_norm         0.54%     115.384us         9.35%       1.996ms      35.638us      10.56 Mb           0 b            56  
     aten::_batch_norm_impl_index         0.93%     198.036us         8.81%       1.880ms      33.578us      10.56 Mb           0 b            56  
          aten::native_batch_norm         5.46%       1.166ms         7.68%       1.641ms      29.301us      10.56 Mb     -91.56 Kb            56  
                 aten::max_pool2d         0.03%       5.653us         5.92%       1.263ms       1.263ms     294.00 Kb    -588.00 Kb             1  
    aten::max_pool2d_with_indices         5.83%       1.246ms         5.89%       1.258ms       1.258ms     882.00 Kb           0 b             1  
                        aten::cat         0.33%      69.923us         2.68%     572.736us      33.690us       4.81 Mb           0 b            17  
                 aten::empty_like         1.20%     256.359us         2.50%     533.917us       2.902us      15.38 Mb           0 b           184  
                       aten::_cat         1.66%     355.019us         2.35%     502.813us      29.577us       4.81 Mb           0 b            17  
                      aten::empty         2.33%     498.476us         2.33%     498.476us       1.079us      19.10 Mb      19.10 Mb           462  
                     aten::narrow         0.50%     105.734us         2.17%     463.357us       4.499us           0 b           0 b           103  
