-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         9.15%      10.533ms        99.99%     115.101ms     115.101ms          -4 b    -197.76 Mb             1  
                     aten::conv2d         0.49%     569.272us        61.52%      70.814ms     354.070us      29.96 Mb           0 b           200  
                aten::convolution         0.46%     527.785us        61.02%      70.245ms     351.223us      29.96 Mb           0 b           200  
               aten::_convolution         0.85%     975.261us        60.56%      69.717ms     348.585us      29.96 Mb           0 b           200  
       aten::_convolution_nogroup         0.37%     423.297us        50.79%      58.461ms     439.560us      22.30 Mb           0 b           133  
                aten::thnn_conv2d         0.28%     322.120us        50.37%      57.985ms     435.975us      22.30 Mb      -6.89 Mb           133  
        aten::thnn_conv2d_forward         3.96%       4.560ms        50.09%      57.663ms     433.553us      29.19 Mb           0 b           133  
                         aten::mm        43.00%      49.495ms        43.00%      49.495ms     490.051us           0 b           0 b           101  
                        aten::cat         0.41%     470.555us        12.13%      13.964ms     136.899us      72.04 Mb           0 b           102  
                 aten::batch_norm         0.37%     422.525us        11.81%      13.596ms      67.641us      94.24 Mb           0 b           201  
                       aten::_cat         6.80%       7.823ms        11.72%      13.493ms     132.286us      72.04 Mb           0 b           102  
     aten::_batch_norm_impl_index         0.81%     938.152us        11.44%      13.173ms      65.539us      94.24 Mb           0 b           201  
          aten::native_batch_norm         9.06%      10.432ms        10.51%      12.096ms      60.178us      94.24 Mb    -894.75 Kb           201  
         aten::mkldnn_convolution         8.71%      10.024ms         8.93%      10.280ms     153.436us       7.66 Mb           0 b            67  
                     aten::narrow         1.37%       1.580ms         4.59%       5.283ms       2.773us           0 b           0 b          1905  
                      aten::slice         2.20%       2.528ms         3.22%       3.703ms       1.944us           0 b           0 b          1905  
                 aten::max_pool2d         0.01%       5.932us         2.79%       3.209ms       3.209ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         2.78%       3.196ms         2.78%       3.203ms       3.203ms       2.30 Mb           0 b             1  
                      aten::relu_         0.45%     516.499us         2.03%       2.332ms      11.600us           0 b           0 b           201  
