-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         9.01%      32.804ms        10.69%      38.930ms       2.725us           0 b           0 b         14288  
                  aten::select         7.08%      25.754ms         9.33%      33.962ms       1.586us           0 b           0 b         21414  
              aten::as_strided         5.01%      18.230ms         5.01%      18.230ms       0.423us           0 b           0 b         43073  
                 aten::resize_         3.56%      12.962ms         3.56%      12.962ms       0.907us      95.43 Mb      95.43 Mb         14291  
                 aten::reshape         2.16%       7.846ms         3.29%      11.985ms       1.671us           0 b           0 b          7172  
                   aten::empty         3.10%      11.272ms         3.10%      11.272ms       0.523us      18.42 Mb      18.42 Mb         21568  
               aten::unsqueeze         2.15%       7.836ms         2.95%      10.730ms       1.503us           0 b           0 b          7138  
                  aten::addmm_         2.28%       8.297ms         2.28%       8.297ms       1.168us           0 b           0 b          7104  
                    aten::view         2.25%       8.201ms         2.25%       8.201ms       0.569us           0 b           0 b         14412  
                     aten::add         1.27%       4.636ms         1.27%       4.636ms      74.775us      25.89 Mb      25.89 Mb            62  
                     aten::cat         0.16%     574.434us         1.00%       3.637ms      74.217us      15.36 Mb           0 b            49  
                    aten::_cat         0.74%       2.704ms         0.84%       3.062ms      62.494us      15.36 Mb           0 b            49  
                      aten::mm         0.83%       3.013ms         0.83%       3.013ms      88.609us           0 b           0 b            34  
       aten::_nnpack_available         0.56%       2.047ms         0.56%       2.047ms       0.287us           0 b           0 b          7138  
                  aten::repeat         0.10%     359.861us         0.54%       1.970ms      59.696us     177.43 Kb           0 b            33  
                   aten::index         0.34%       1.243ms         0.39%       1.425ms      43.186us      15.87 Mb           0 b            33  
                  aten::unfold         0.06%     207.269us         0.31%       1.141ms       8.647us           0 b           0 b           132  
      aten::mkldnn_convolution         0.20%     715.860us         0.20%     731.571us     365.786us       2.30 Mb           0 b             2  
               aten::hardtanh_         0.07%     243.040us         0.17%     602.123us      17.204us           0 b           0 b            35  
                  aten::clamp_         0.02%      76.080us         0.10%     359.083us      10.260us           0 b           0 b            35  
                  aten::linear         0.00%       4.706us         0.08%     302.341us     302.341us       3.91 Kb           0 b             1  
                   aten::addmm         0.08%     284.538us         0.08%     290.814us     290.814us       3.91 Kb       3.91 Kb             1  
                   aten::clamp         0.08%     283.003us         0.08%     283.003us       8.086us           0 b           0 b            35  
                   aten::copy_         0.05%     170.172us         0.05%     170.172us       4.862us           0 b           0 b            35  
                  aten::expand         0.03%     118.222us         0.04%     158.820us       2.370us           0 b           0 b            67  
               aten::expand_as         0.01%      36.621us         0.03%     104.670us       3.172us           0 b           0 b            33  
