-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
     aten::thnn_conv2d_forward        32.03%      79.456ms        66.30%     164.463ms      37.259us      61.26 Mb           0 b          4414  
                  aten::select        16.55%      41.062ms        18.52%      45.932ms       3.469us           0 b           0 b         13242  
                  aten::narrow         3.27%       8.123ms        14.10%      34.969ms       3.981us           0 b           0 b          8784  
                   aten::slice         9.47%      23.488ms        10.89%      27.005ms       3.061us           0 b           0 b          8822  
              aten::as_strided         4.04%      10.024ms         4.04%      10.024ms       0.378us           0 b           0 b         26520  
                 aten::resize_         3.70%       9.183ms         3.70%       9.183ms       1.044us      64.58 Mb      64.58 Mb          8792  
                 aten::reshape         2.37%       5.890ms         3.45%       8.555ms       1.922us           0 b           0 b          4452  
               aten::unsqueeze         1.96%       4.867ms         2.61%       6.474ms       1.467us           0 b           0 b          4414  
                  aten::addmm_         2.18%       5.413ms         2.18%       5.413ms       1.239us           0 b           0 b          4368  
                    aten::view         2.14%       5.316ms         2.14%       5.316ms       0.590us           0 b           0 b          9005  
                   aten::empty         1.99%       4.927ms         1.99%       4.927ms       0.369us      21.87 Mb      21.87 Mb         13355  
                     aten::add         1.15%       2.856ms         1.15%       2.856ms      46.064us      16.71 Mb      16.71 Mb            62  
                      aten::mm         0.97%       2.416ms         0.97%       2.416ms      52.518us           0 b           0 b            46  
                     aten::cat         0.12%     287.158us         0.61%       1.511ms     151.129us       3.32 Mb           0 b            10  
                    aten::_cat         0.47%       1.158ms         0.49%       1.224ms     122.413us       3.32 Mb           0 b            10  
         aten::constant_pad_nd         0.11%     264.828us         0.49%       1.223ms      32.193us       5.89 Mb           0 b            38  
                   aten::index         0.39%     956.285us         0.47%       1.174ms      30.883us      11.34 Mb           0 b            38  
       aten::_nnpack_available         0.47%       1.170ms         0.47%       1.170ms       0.265us           0 b           0 b          4414  
      aten::mkldnn_convolution         0.41%       1.028ms         0.43%       1.060ms     176.615us       2.34 Mb           0 b             6  
     aten::adaptive_avg_pool2d         0.01%      24.660us         0.20%     498.372us      55.375us      17.72 Kb           0 b             9  
                    aten::mean         0.03%      70.392us         0.19%     473.712us      52.635us      17.72 Kb           0 b             9  
                   aten::fill_         0.17%     416.831us         0.17%     416.831us       8.869us           0 b           0 b            47  
                  aten::linear         0.00%       7.132us         0.16%     406.664us     203.332us       8.91 Kb           0 b             2  
                   aten::addmm         0.15%     372.238us         0.15%     383.951us     191.975us       8.91 Kb       8.91 Kb             2  
                   aten::copy_         0.11%     278.123us         0.11%     278.123us       5.676us           0 b           0 b            49  
                     aten::sum         0.05%     128.364us         0.10%     243.910us      27.101us      17.72 Kb           0 b             9  
