-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                      aten::index         2.43%       1.529ms         2.78%       1.752ms      83.429us      29.86 Mb           0 b            21  
                        aten::cat         0.13%      79.008us         2.15%       1.350ms      64.302us      14.10 Mb           0 b            21  
                       aten::_cat         1.54%     968.603us         2.02%       1.271ms      60.540us      14.10 Mb           0 b            21  
                     aten::repeat         0.47%     293.243us         1.44%     904.048us      43.050us     119.44 Kb           0 b            21  
                      aten::relu_         0.23%     143.158us         1.12%     705.162us      14.391us           0 b           0 b            49  
                       aten::add_         0.95%     596.628us         0.95%     596.628us      37.289us           0 b           0 b            16  
                 aten::threshold_         0.89%     562.004us         0.89%     562.004us      11.469us           0 b           0 b            49  
                      aten::empty         0.89%     559.741us         0.89%     559.741us       2.678us      37.87 Mb      37.87 Mb           209  
                     aten::linear         0.01%       5.857us         0.54%     339.338us     339.338us       3.91 Kb           0 b             1  
                      aten::addmm         0.51%     319.035us         0.52%     326.392us     326.392us       3.91 Kb       3.91 Kb             1  
                     aten::select         0.33%     207.724us         0.41%     260.394us       2.630us           0 b           0 b            99  
                    aten::resize_         0.41%     255.625us         0.41%     255.625us       4.565us      34.79 Mb      34.79 Mb            56  
                      aten::slice         0.33%     205.075us         0.38%     238.946us       3.793us           0 b           0 b            63  
                     aten::unfold         0.24%     153.619us         0.36%     228.827us       2.724us           0 b           0 b            84  
                 aten::as_strided         0.36%     226.331us         0.36%     226.331us       0.658us           0 b           0 b           344  
                     aten::narrow         0.09%      55.394us         0.29%     184.515us       4.393us           0 b           0 b            42  
                       aten::view         0.26%     163.089us         0.26%     163.089us       0.872us           0 b           0 b           187  
                    aten::reshape         0.16%     100.486us         0.24%     150.810us       2.793us           0 b           0 b            54  
                      aten::copy_         0.20%     127.386us         0.20%     127.386us       5.539us           0 b           0 b            23  
                     aten::expand         0.15%      91.365us         0.19%     121.437us       2.824us           0 b           0 b            43  
                  aten::expand_as         0.05%      31.320us         0.13%      83.026us       3.954us           0 b           0 b            21  
        aten::adaptive_avg_pool2d         0.01%       3.946us         0.10%      63.063us      63.063us       8.00 Kb           0 b             1  
                  aten::unsqueeze         0.07%      44.234us         0.10%      60.574us       1.836us           0 b           0 b            33  
                       aten::mean         0.03%      16.611us         0.09%      59.117us      59.117us       8.00 Kb           0 b             1  
                         aten::to         0.05%      33.228us         0.06%      38.184us       0.888us           4 b           0 b            43  
                        aten::sum         0.02%      15.484us         0.04%      22.777us      22.777us       8.00 Kb           0 b             1  
                aten::as_strided_         0.04%      22.471us         0.04%      22.471us       1.124us           0 b           0 b            20  
                       aten::div_         0.02%      10.832us         0.03%      19.729us      19.729us           0 b          -4 b             1  
          aten::_nnpack_available         0.03%      17.168us         0.03%      17.168us       0.520us           0 b           0 b            33  
                      aten::alias         0.03%      16.933us         0.03%      16.933us       0.806us           0 b           0 b            21  
                     aten::detach         0.02%      13.184us         0.02%      13.184us       0.400us           0 b           0 b            33  
                      aten::zeros         0.01%       7.346us         0.02%      11.192us      11.192us           4 b           0 b             1  
                          aten::t         0.01%       3.964us         0.01%       7.089us       7.089us           0 b           0 b             1  
                    aten::flatten         0.01%       3.363us         0.01%       6.666us       6.666us           0 b           0 b             1  
                      aten::fill_         0.01%       3.710us         0.01%       3.710us       3.710us           0 b           0 b             1  
                  aten::transpose         0.00%       2.150us         0.00%       3.125us       3.125us           0 b           0 b             1  
              aten::empty_strided         0.00%       1.578us         0.00%       1.578us       1.578us           4 b           4 b             1  
                      aten::zero_         0.00%       1.065us         0.00%       1.065us       1.065us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 62.935ms
