-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                aten::thnn_conv2d         0.68%     268.610us        45.45%      18.035ms     219.935us       4.24 Mb     -12.30 Mb            82  
        aten::thnn_conv2d_forward        10.65%       4.226ms        44.77%      17.766ms     216.659us      16.54 Mb           0 b            82  
                         aten::mm        15.30%       6.072ms        15.30%       6.072ms     151.805us           0 b           0 b            40  
                     aten::addmm_        14.92%       5.919ms        14.92%       5.919ms     140.936us           0 b           0 b            42  
                 aten::max_pool2d         0.05%      18.261us        11.95%       4.741ms       1.185ms       1.05 Mb      -2.09 Mb             4  
    aten::max_pool2d_with_indices        11.81%       4.687ms        11.90%       4.723ms       1.181ms       3.14 Mb           0 b             4  
         aten::mkldnn_convolution        10.34%       4.101ms        10.51%       4.170ms     347.463us       4.62 Mb           0 b            12  
                        aten::add         4.42%       1.754ms         4.47%       1.773ms      18.274us      12.69 Mb      12.69 Mb            97  
                 aten::avg_pool2d         3.00%       1.192ms         3.08%       1.221ms     135.625us       3.76 Mb           0 b             9  
            aten::constant_pad_nd         0.83%     328.383us         2.90%       1.152ms      23.509us       3.30 Mb           0 b            49  
               aten::index_select         1.36%     540.641us         1.70%     674.188us      13.759us       6.50 Mb           0 b            49  
                        aten::cat         0.17%      66.589us         1.64%     651.537us      40.721us       5.47 Mb           0 b            16  
                      aten::relu_         0.56%     222.238us         1.53%     606.778us       6.455us           0 b           0 b            94  
                       aten::_cat         1.10%     437.477us         1.47%     584.948us      36.559us       5.47 Mb           0 b            16  
                     aten::select         1.14%     452.548us         1.43%     566.012us       2.273us           0 b           0 b           249  
                    aten::resize_         1.03%     409.334us         1.03%     409.334us       1.987us      35.41 Mb      35.41 Mb           206  
                      aten::empty         1.01%     401.572us         1.01%     401.572us       1.014us       8.50 Mb       8.50 Mb           396  
                 aten::threshold_         0.97%     384.540us         0.97%     384.540us       4.091us           0 b           0 b            94  
                    aten::reshape         0.77%     306.607us         0.93%     368.649us       4.496us           0 b           0 b            82  
                     aten::linear         0.01%       5.400us         0.87%     346.269us     346.269us       3.91 Kb           0 b             1  
                      aten::addmm         0.83%     327.369us         0.84%     333.818us     333.818us       3.91 Kb       3.91 Kb             1  
                     aten::narrow         0.22%      87.975us         0.75%     299.332us       3.887us           0 b           0 b            77  
                      aten::copy_         0.61%     243.670us         0.61%     243.670us       4.275us           0 b           0 b            57  
                      aten::slice         0.47%     185.389us         0.59%     233.364us       2.917us           0 b           0 b            80  
                      aten::fill_         0.58%     231.234us         0.58%     231.234us       4.625us           0 b           0 b            50  
                       aten::view         0.57%     224.368us         0.57%     224.368us       0.787us           0 b           0 b           285  
                 aten::is_nonzero         0.15%      61.172us         0.50%     197.888us       4.039us           0 b           0 b            49  
                 aten::as_strided         0.50%     197.156us         0.50%     197.156us       0.474us           0 b           0 b           416  
                  aten::unsqueeze         0.31%     122.571us         0.39%     156.583us       1.842us           0 b           0 b            85  
                       aten::item         0.14%      56.396us         0.34%     136.716us       2.790us           0 b           0 b            49  
                        aten::mul         0.14%      55.702us         0.22%      87.175us      29.058us     588.00 Kb         -12 b             3  
        aten::_local_scalar_dense         0.20%      80.320us         0.20%      80.320us       1.639us           0 b           0 b            49  
                         aten::to         0.05%      20.104us         0.14%      56.783us       8.112us          28 b           0 b             7  
        aten::adaptive_avg_pool2d         0.01%       3.109us         0.14%      53.978us      53.978us       8.00 Kb           0 b             1  
                       aten::mean         0.02%       6.518us         0.13%      50.869us      50.869us       8.00 Kb           0 b             1  
          aten::_nnpack_available         0.08%      33.232us         0.08%      33.232us       0.405us           0 b           0 b            82  
                       aten::div_         0.03%      10.790us         0.06%      24.341us      24.341us           0 b          -4 b             1  
                        aten::sum         0.04%      15.694us         0.05%      20.010us      20.010us       8.00 Kb           0 b             1  
                     aten::detach         0.04%      15.062us         0.04%      15.062us       0.377us           0 b           0 b            40  
                      aten::zeros         0.02%       7.003us         0.03%      10.798us      10.798us           4 b           0 b             1  
                aten::as_strided_         0.03%      10.189us         0.03%      10.189us       0.849us           0 b           0 b            12  
              aten::empty_strided         0.03%      10.165us         0.03%      10.165us       1.452us          28 b          28 b             7  
                    aten::flatten         0.01%       2.892us         0.02%       8.168us       8.168us           0 b           0 b             1  
                          aten::t         0.01%       4.123us         0.02%       7.051us       7.051us           0 b           0 b             1  
                  aten::transpose         0.00%       1.752us         0.01%       2.928us       2.928us           0 b           0 b             1  
                     aten::expand         0.00%       1.982us         0.01%       2.511us       2.511us           0 b           0 b             1  
                    aten::dropout         0.00%       1.010us         0.00%       1.010us       1.010us           0 b           0 b             1  
                      aten::zero_         0.00%       0.890us         0.00%       0.890us       0.890us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 39.681ms
