-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
       aten::_convolution_nogroup         0.69%     176.462us        26.24%       6.735ms     127.069us       3.00 Mb           0 b            53  
                aten::thnn_conv2d         0.71%     181.148us        25.48%       6.539ms     123.372us       3.00 Mb      -3.59 Mb            53  
        aten::thnn_conv2d_forward         6.12%       1.570ms        24.77%       6.358ms     119.954us       6.59 Mb           0 b            53  
                     aten::addmm_         7.66%       1.965ms         7.66%       1.965ms     122.838us           0 b           0 b            16  
                         aten::mm         7.54%       1.936ms         7.54%       1.936ms      52.311us           0 b           0 b            37  
         aten::mkldnn_convolution         6.89%       1.769ms         6.98%       1.791ms     447.667us       3.16 Mb           0 b             4  
                        aten::add         4.04%       1.036ms         4.12%       1.057ms      17.622us       6.73 Mb       6.73 Mb            60  
                        aten::cat         0.18%      46.713us         1.71%     438.172us      43.817us       2.93 Mb           0 b            10  
                       aten::_cat         1.01%     259.817us         1.53%     391.459us      39.146us       2.93 Mb           0 b            10  
                     aten::select         1.11%     285.657us         1.41%     361.662us       2.232us           0 b           0 b           162  
                      aten::relu_         0.48%     123.684us         1.22%     312.067us       5.475us           0 b           0 b            57  
                    aten::resize_         0.79%     202.684us         0.79%     202.684us       1.930us      17.63 Mb      17.63 Mb           105  
                 aten::threshold_         0.73%     188.383us         0.73%     188.383us       3.305us           0 b           0 b            57  
                       aten::view         0.61%     157.289us         0.61%     157.289us       0.722us           0 b           0 b           218  
                     aten::linear         0.02%       5.666us         0.53%     135.926us     135.926us       3.91 Kb           0 b             1  
                      aten::empty         0.48%     123.546us         0.48%     123.546us       0.600us       3.73 Mb       3.73 Mb           206  
                      aten::addmm         0.44%     113.690us         0.47%     121.329us     121.329us       3.91 Kb       3.91 Kb             1  
                    aten::reshape         0.32%      83.359us         0.47%     120.059us       2.265us           0 b           0 b            53  
                 aten::as_strided         0.46%     119.272us         0.46%     119.272us       0.473us           0 b           0 b           252  
                  aten::unsqueeze         0.34%      86.388us         0.43%     111.374us       1.989us           0 b           0 b            56  
                     aten::narrow         0.12%      31.143us         0.38%      98.623us       3.401us           0 b           0 b            29  
                      aten::slice         0.26%      67.578us         0.33%      84.024us       2.626us           0 b           0 b            32  
                        aten::mul         0.19%      48.460us         0.30%      77.308us      25.769us     588.00 Kb         -12 b             3  
                         aten::to         0.09%      22.552us         0.20%      52.422us       7.489us          28 b           0 b             7  
        aten::adaptive_avg_pool2d         0.01%       3.134us         0.19%      49.496us      49.496us       2.00 Kb           0 b             1  
                       aten::mean         0.03%       6.728us         0.18%      46.362us      46.362us       2.00 Kb           0 b             1  
                      aten::copy_         0.10%      24.501us         0.10%      24.501us       3.063us           0 b           0 b             8  
                       aten::div_         0.04%      10.577us         0.08%      21.233us      21.233us           0 b          -4 b             1  
          aten::_nnpack_available         0.08%      19.490us         0.08%      19.490us       0.368us           0 b           0 b            53  
