-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         1.06%       3.617ms       100.00%     339.948ms     339.948ms          -4 b     -37.36 Mb             1  
                    aten::conv2d         0.05%     155.030us        97.75%     332.314ms       6.391ms      18.18 Mb           0 b            52  
               aten::convolution         0.04%     139.990us        97.71%     332.159ms       6.388ms      18.18 Mb           0 b            52  
              aten::_convolution         6.23%      21.166ms        97.67%     332.019ms       6.385ms      18.18 Mb      -6.29 Mb            52  
      aten::_convolution_nogroup         4.48%      15.218ms        75.94%     258.149ms      41.785us      17.03 Mb           0 b          6178  
               aten::thnn_conv2d         3.73%      12.697ms        70.95%     241.186ms      39.039us      17.03 Mb     -89.77 Mb          6178  
       aten::thnn_conv2d_forward        30.50%     103.672ms        67.21%     228.489ms      36.984us     106.80 Mb           0 b          6178  
                    aten::narrow         3.55%      12.069ms        14.79%      50.277ms       4.086us           0 b           0 b         12304  
                    aten::select        10.37%      35.252ms        12.51%      42.524ms       2.294us           0 b           0 b         18534  
                     aten::slice         9.66%      32.842ms        11.24%      38.207ms       3.105us           0 b           0 b         12304  
                      aten::view        10.33%      35.101ms        10.33%      35.101ms       2.818us           0 b           0 b         12458  
                aten::as_strided         4.41%      14.982ms         4.41%      14.982ms       0.405us           0 b           0 b         37019  
                   aten::reshape         2.12%       7.212ms         3.23%      10.992ms       1.779us           0 b           0 b          6178  
                   aten::resize_         3.22%      10.931ms         3.22%      10.931ms       0.886us     113.09 Mb     113.09 Mb         12339  
                 aten::unsqueeze         2.03%       6.903ms         2.72%       9.245ms       1.496us           0 b           0 b          6178  
                    aten::addmm_         2.56%       8.707ms         2.56%       8.707ms       1.417us           0 b           0 b          6144  
                     aten::empty         2.12%       7.201ms         2.12%       7.201ms       0.384us      19.44 Mb      19.44 Mb         18764  
                        aten::mm         1.23%       4.197ms         1.23%       4.197ms     123.434us           0 b           0 b            34  
                aten::batch_norm         0.06%     196.211us         0.87%       2.965ms      57.021us      18.18 Mb           0 b            52  
