-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         4.82%     981.004us        99.95%      20.355ms      20.355ms          -4 b     -28.99 Mb             1  
                     aten::conv2d         0.48%      97.466us        49.76%      10.134ms     389.766us      16.58 Mb           0 b            26  
                aten::convolution         0.36%      72.685us        49.28%      10.036ms     386.018us      16.58 Mb           0 b            26  
               aten::_convolution         0.72%     146.170us        48.92%       9.964ms     383.222us      16.58 Mb           0 b            26  
                 aten::max_pool2d         0.10%      20.556us        39.14%       7.971ms       2.657ms       2.11 Mb      -4.22 Mb             3  
    aten::max_pool2d_with_indices        38.95%       7.932ms        39.04%       7.950ms       2.650ms       6.33 Mb           0 b             3  
       aten::_convolution_nogroup         0.33%      66.706us        29.97%       6.103ms     339.036us       7.25 Mb           0 b            18  
                aten::thnn_conv2d         0.25%      51.031us        29.60%       6.028ms     334.906us       7.25 Mb    -380.25 Kb            18  
        aten::thnn_conv2d_forward         2.30%     468.545us        29.35%       5.977ms     332.070us       7.62 Mb           0 b            18  
                     aten::addmm_        22.65%       4.612ms        22.65%       4.612ms     256.242us           0 b           0 b            18  
         aten::mkldnn_convolution        18.05%       3.676ms        18.24%       3.715ms     464.368us       9.33 Mb           0 b             8  
                        aten::cat         0.40%      81.750us         4.12%     838.838us     104.855us      10.30 Mb           0 b             8  
                       aten::_cat         3.35%     682.446us         3.72%     757.088us      94.636us      10.30 Mb           0 b             8  
                      aten::copy_         2.56%     522.293us         2.56%     522.293us      27.489us           0 b           0 b            19  
                      aten::relu_         0.32%      65.477us         1.79%     364.069us      14.003us           0 b           0 b            26  
                 aten::threshold_         1.47%     298.592us         1.47%     298.592us      11.484us           0 b           0 b            26  
                     aten::select         0.48%      96.801us         0.59%     120.410us       2.230us           0 b           0 b            54  
                  aten::unsqueeze         0.37%      74.554us         0.48%      98.250us       1.819us           0 b           0 b            54  
                    aten::resize_         0.41%      84.374us         0.41%      84.374us       2.557us      24.24 Mb      24.24 Mb            33  
                      aten::empty         0.36%      73.185us         0.36%      73.185us       0.926us       9.34 Mb       9.34 Mb            79  
