-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.53%       1.069ms        99.98%      70.047ms      70.047ms          -4 b     -99.37 Mb             1  
                     aten::conv2d         0.08%      58.317us        46.23%      32.386ms       3.239ms      46.70 Mb           0 b            10  
                aten::convolution         0.07%      50.949us        46.14%      32.328ms       3.233ms      46.70 Mb           0 b            10  
               aten::_convolution         0.14%      96.458us        46.07%      32.277ms       3.228ms      46.70 Mb           0 b            10  
         aten::mkldnn_convolution        45.86%      32.127ms        45.93%      32.180ms       3.218ms      46.70 Mb           0 b            10  
                     aten::linear         0.02%      14.332us        24.26%      16.994ms       5.665ms      35.91 Kb           0 b             3  
                      aten::addmm        24.15%      16.922ms        24.20%      16.951ms       5.650ms      35.91 Kb      35.91 Kb             3  
                 aten::max_pool2d         0.10%      66.832us        19.33%      13.542ms       2.708ms       5.84 Mb     -11.68 Mb             5  
    aten::max_pool2d_with_indices        19.19%      13.443ms        19.23%      13.475ms       2.695ms      17.51 Mb           0 b             5  
                 aten::batch_norm         0.06%      39.109us         6.51%       4.560ms     456.022us      46.70 Mb           0 b            10  
     aten::_batch_norm_impl_index         0.07%      49.539us         6.45%       4.521ms     452.111us      46.70 Mb           0 b            10  
          aten::native_batch_norm         6.23%       4.367ms         6.37%       4.463ms     446.272us      46.70 Mb     -23.00 Kb            10  
                      aten::relu_         0.09%      60.491us         2.08%       1.455ms     121.212us           0 b           0 b            12  
                 aten::threshold_         1.99%       1.394ms         1.99%       1.394ms     116.171us           0 b           0 b            12  
                      aten::empty         0.16%     110.942us         0.16%     110.942us       1.681us      93.43 Mb      93.43 Mb            66  
                 aten::empty_like         0.07%      47.410us         0.14%      95.866us       3.196us      46.73 Mb           0 b            30  
                          aten::t         0.02%      13.647us         0.04%      28.626us       9.542us           0 b           0 b             3  
        aten::adaptive_avg_pool2d         0.00%       2.833us         0.04%      27.360us      27.360us      98.00 Kb           0 b             1  
                    aten::resize_         0.04%      27.330us         0.04%      27.330us       2.485us      17.61 Mb      17.61 Mb            11  
