-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         9.13%       6.262ms        99.97%      68.550ms      68.550ms          -4 b    -127.77 Mb             1  
                     aten::conv2d         0.50%     339.461us        63.26%      43.375ms     361.461us      26.32 Mb           0 b           120  
                aten::convolution         0.44%     300.084us        62.76%      43.036ms     358.632us      26.32 Mb           0 b           120  
               aten::_convolution         0.87%     595.025us        62.33%      42.736ms     356.132us      26.32 Mb           0 b           120  
       aten::_convolution_nogroup         0.36%     244.742us        44.58%      30.569ms     396.994us      19.24 Mb           0 b            77  
                aten::thnn_conv2d         0.27%     182.107us        44.18%      30.295ms     393.440us      19.24 Mb      -3.45 Mb            77  
        aten::thnn_conv2d_forward         3.55%       2.433ms        43.92%      30.113ms     391.075us      22.68 Mb           0 b            77  
                         aten::mm        37.50%      25.717ms        37.50%      25.717ms     421.582us           0 b           0 b            61  
         aten::mkldnn_convolution        16.67%      11.429ms        16.88%      11.572ms     269.123us       7.08 Mb           0 b            43  
                 aten::batch_norm         0.37%     251.516us        11.07%       7.587ms      62.705us      59.77 Mb           0 b           121  
     aten::_batch_norm_impl_index         0.92%     627.577us        10.70%       7.336ms      60.626us      59.77 Mb           0 b           121  
          aten::native_batch_norm         8.29%       5.687ms         9.67%       6.631ms      54.801us      59.77 Mb    -326.75 Kb           121  
                        aten::cat         0.37%     252.203us         9.21%       6.318ms     101.906us      40.24 Mb           0 b            62  
                       aten::_cat         5.69%       3.905ms         8.85%       6.066ms      97.838us      40.24 Mb           0 b            62  
                 aten::max_pool2d         0.01%       6.269us         4.58%       3.139ms       3.139ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         4.56%       3.126ms         4.57%       3.133ms       3.133ms       2.30 Mb           0 b             1  
                     aten::narrow         0.75%     516.218us         2.87%       1.969ms       3.383us           0 b           0 b           582  
                      aten::slice         1.20%     823.128us         2.12%       1.453ms       2.496us           0 b           0 b           582  
                      aten::relu_         0.45%     310.526us         2.02%       1.385ms      11.446us           0 b           0 b           121  
