-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.28%     818.360us        99.98%      63.998ms      63.998ms          -4 b     -52.67 Mb             1  
                     aten::conv2d         0.08%      52.727us        50.46%      32.303ms       3.230ms      46.70 Mb           0 b            10  
                aten::convolution         0.08%      48.345us        50.38%      32.250ms       3.225ms      46.70 Mb           0 b            10  
               aten::_convolution         0.16%     100.423us        50.31%      32.202ms       3.220ms      46.70 Mb           0 b            10  
         aten::mkldnn_convolution        50.02%      32.019ms        50.15%      32.101ms       3.210ms      46.70 Mb           0 b            10  
                     aten::linear         0.02%      15.353us        26.61%      17.036ms       5.679ms      35.91 Kb           0 b             3  
                      aten::addmm        26.50%      16.962ms        26.55%      16.992ms       5.664ms      35.91 Kb      35.91 Kb             3  
                 aten::max_pool2d         0.07%      45.385us        20.10%      12.865ms       2.573ms       5.84 Mb     -11.68 Mb             5  
    aten::max_pool2d_with_indices        19.97%      12.783ms        20.03%      12.820ms       2.564ms      17.51 Mb           0 b             5  
                      aten::relu_         0.09%      57.468us         1.46%     934.424us      77.869us           0 b           0 b            12  
                 aten::threshold_         1.37%     876.956us         1.37%     876.956us      73.080us           0 b           0 b            12  
                      aten::empty         0.13%      84.775us         0.13%      84.775us       3.261us      46.70 Mb      46.70 Mb            26  
                    aten::resize_         0.05%      28.976us         0.05%      28.976us       2.634us      17.61 Mb      17.61 Mb            11  
                          aten::t         0.02%      12.585us         0.04%      28.061us       9.354us           0 b           0 b             3  
        aten::adaptive_avg_pool2d         0.00%       2.077us         0.04%      27.174us      27.174us      98.00 Kb           0 b             1  
       aten::_adaptive_avg_pool2d         0.04%      22.941us         0.04%      25.097us      25.097us      98.00 Kb           0 b             1  
                      aten::copy_         0.03%      19.568us         0.03%      19.568us       6.523us           0 b           0 b             3  
                  aten::transpose         0.02%      11.208us         0.02%      15.476us       5.159us           0 b           0 b             3  
                aten::as_strided_         0.02%      13.794us         0.02%      13.794us       1.379us           0 b           0 b            10  
                      aten::zeros         0.01%       7.287us         0.02%      11.790us      11.790us           4 b           0 b             1  
