-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         5.87%       8.664ms        99.99%     147.663ms     147.663ms          -4 b    -237.54 Mb             1  
                     aten::conv2d         0.31%     457.530us        71.85%     106.101ms     663.131us      42.21 Mb           0 b           160  
                aten::convolution         0.28%     416.178us        71.54%     105.643ms     660.272us      42.21 Mb           0 b           160  
               aten::_convolution         0.53%     782.340us        71.26%     105.227ms     657.671us      42.21 Mb           0 b           160  
       aten::_convolution_nogroup         0.24%     348.040us        59.36%      87.652ms     834.781us      31.15 Mb           0 b           105  
                aten::thnn_conv2d         0.18%     265.598us        59.09%      87.261ms     831.055us      31.15 Mb      -7.75 Mb           105  
        aten::thnn_conv2d_forward         3.50%       5.176ms        58.91%      86.995ms     828.526us      38.90 Mb           0 b           105  
                         aten::mm        52.72%      77.850ms        52.72%      77.850ms     961.106us           0 b           0 b            81  
         aten::mkldnn_convolution        11.23%      16.590ms        11.37%      16.793ms     305.327us      11.05 Mb           0 b            55  
                 aten::batch_norm         0.24%     351.908us         8.91%      13.159ms      81.732us     112.21 Mb           0 b           161  
     aten::_batch_norm_impl_index         0.53%     781.575us         8.67%      12.807ms      79.546us     112.21 Mb           0 b           161  
          aten::native_batch_norm         7.17%      10.591ms         8.07%      11.919ms      74.029us     112.21 Mb    -859.12 Kb           161  
                        aten::cat         0.25%     366.366us         7.97%      11.770ms     143.540us      80.91 Mb           0 b            82  
                       aten::_cat         5.15%       7.606ms         7.72%      11.404ms     139.072us      80.91 Mb           0 b            82  
                 aten::max_pool2d         0.00%       6.268us         3.16%       4.673ms       4.673ms       1.15 Mb      -2.30 Mb             1  
    aten::max_pool2d_with_indices         3.16%       4.661ms         3.16%       4.666ms       4.666ms       3.45 Mb           0 b             1  
                     aten::narrow         0.69%       1.012ms         2.36%       3.486ms       3.039us           0 b           0 b          1147  
                      aten::relu_         0.29%     428.933us         1.73%       2.554ms      15.861us           0 b           0 b           161  
                      aten::slice         1.10%       1.627ms         1.68%       2.474ms       2.157us           0 b           0 b          1147  
