-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
         aten::mkldnn_convolution        12.54%       2.657ms        12.96%       2.746ms     144.532us       4.13 Mb           0 b            19  
                 aten::max_pool2d         0.03%       5.497us         5.97%       1.264ms       1.264ms     294.00 Kb    -588.00 Kb             1  
    aten::max_pool2d_with_indices         5.87%       1.244ms         5.94%       1.259ms       1.259ms     882.00 Kb           0 b             1  
            aten::constant_pad_nd         1.19%     252.353us         5.58%       1.182ms      32.845us       5.24 Mb           0 b            36  
                        aten::cat         0.42%      88.233us         4.05%     857.861us      50.462us       6.64 Mb           0 b            17  
               aten::index_select         3.44%     728.048us         3.91%     828.377us      23.010us      10.27 Mb           0 b            36  
                       aten::_cat         2.90%     614.520us         3.63%     769.628us      45.272us       6.64 Mb           0 b            17  
                      aten::copy_         2.94%     622.006us         2.94%     622.006us      11.519us           0 b           0 b            54  
                     aten::narrow         0.70%     147.766us         2.66%     563.582us       4.055us           0 b           0 b           139  
                 aten::contiguous         0.21%      43.604us         2.42%     512.144us      32.009us       6.57 Mb           0 b            16  
                     aten::select         1.79%     378.706us         2.20%     465.034us       2.584us           0 b           0 b           180  
                      aten::relu_         0.58%     123.852us         2.16%     458.091us      12.381us           0 b           0 b            37  
                      aten::empty         2.09%     443.737us         2.09%     443.737us       1.431us      15.94 Mb      15.94 Mb           310  
                      aten::slice         1.62%     342.420us         1.96%     415.816us       2.991us           0 b           0 b           139  
                      aten::fill_         1.61%     340.953us         1.61%     340.953us       9.215us           0 b           0 b            37  
                 aten::threshold_         1.58%     334.239us         1.58%     334.239us       9.033us           0 b           0 b            37  
                    aten::resize_         1.38%     292.607us         1.38%     292.607us       2.105us      23.24 Mb      23.24 Mb           139  
                       aten::view         1.30%     275.633us         1.30%     275.633us       1.060us           0 b           0 b           260  
                     aten::linear         0.02%       5.247us         1.18%     249.550us     249.550us       3.91 Kb           0 b             1  
                      aten::addmm         1.09%     230.348us         1.12%     236.845us     236.845us       3.91 Kb       3.91 Kb             1  
                 aten::as_strided         0.96%     202.955us         0.96%     202.955us       0.510us           0 b           0 b           398  
                      aten::chunk         0.18%      38.161us         0.92%     195.109us      15.008us           0 b           0 b            13  
                      aten::split         0.28%      59.431us         0.74%     156.948us      12.073us           0 b           0 b            13  
                 aten::is_nonzero         0.23%      47.817us         0.72%     152.764us       4.243us           0 b           0 b            36  
                    aten::reshape         0.47%     100.117us         0.68%     144.526us       2.409us           0 b           0 b            60  
                  aten::unsqueeze         0.48%     101.326us         0.61%     128.968us       2.149us           0 b           0 b            60  
                       aten::item         0.20%      43.291us         0.50%     104.947us       2.915us           0 b           0 b            36  
                 aten::empty_like         0.14%      29.828us         0.34%      71.423us       4.464us       6.57 Mb           0 b            16  
                  aten::transpose         0.26%      54.734us         0.33%      69.031us       4.061us           0 b           0 b            17  
        aten::_local_scalar_dense         0.29%      61.656us         0.29%      61.656us       1.713us           0 b           0 b            36  
                       aten::mean         0.03%       6.198us         0.23%      48.394us      48.394us       4.00 Kb           0 b             1  
                     aten::addmm_         0.18%      38.903us         0.18%      38.903us       1.621us           0 b           0 b            24  
                        aten::sum         0.08%      17.429us         0.10%      21.714us      21.714us       4.00 Kb           0 b             1  
                       aten::div_         0.06%      11.986us         0.10%      20.482us      20.482us           0 b          -4 b             1  
          aten::_nnpack_available         0.09%      20.115us         0.09%      20.115us       0.335us           0 b           0 b            60  
                     aten::detach         0.06%      12.970us         0.06%      12.970us       0.360us           0 b           0 b            36  
                aten::as_strided_         0.06%      11.948us         0.06%      11.948us       0.629us           0 b           0 b            19  
                      aten::zeros         0.03%       7.026us         0.05%      10.920us      10.920us           4 b           0 b             1  
                         aten::to         0.02%       3.656us         0.04%       8.496us       8.496us           4 b           0 b             1  
                          aten::t         0.02%       4.312us         0.04%       7.458us       7.458us           0 b           0 b             1  
                     aten::expand         0.01%       2.244us         0.01%       2.782us       2.782us           0 b           0 b             1  
              aten::empty_strided         0.01%       1.798us         0.01%       1.798us       1.798us           4 b           4 b             1  
                      aten::zero_         0.00%       0.751us         0.00%       0.751us       0.751us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.182ms
