-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         1.19%       3.293ms       100.00%     275.620ms     275.620ms          -4 b     -24.07 Mb             1  
                    aten::conv2d         0.07%     190.504us        97.53%     268.814ms       5.169ms      11.69 Mb           0 b            52  
               aten::convolution         0.06%     171.436us        97.46%     268.623ms       5.166ms      11.69 Mb           0 b            52  
              aten::_convolution         5.95%      16.390ms        97.40%     268.452ms       5.163ms      11.69 Mb      -3.36 Mb            52  
      aten::_convolution_nogroup         4.21%      11.591ms        77.15%     212.652ms      51.993us      10.16 Mb           0 b          4090  
               aten::thnn_conv2d        13.15%      36.254ms        72.48%     199.773ms      48.844us      10.16 Mb     -52.88 Mb          4090  
       aten::thnn_conv2d_forward        30.02%      82.753ms        59.33%     163.519ms      39.980us      63.04 Mb           0 b          4090  
                    aten::narrow         3.43%       9.450ms        13.72%      37.810ms       4.655us           0 b           0 b          8122  
                     aten::slice         8.66%      23.862ms        10.29%      28.360ms       3.492us           0 b           0 b          8122  
                    aten::select         6.61%      18.224ms         9.43%      25.996ms       2.119us           0 b           0 b         12270  
                   aten::resize_         7.79%      21.483ms         7.79%      21.483ms       2.632us      66.40 Mb      66.40 Mb          8162  
                aten::as_strided         5.18%      14.268ms         5.18%      14.268ms       0.583us           0 b           0 b         24485  
                   aten::reshape         2.06%       5.688ms         3.13%       8.615ms       2.106us           0 b           0 b          4090  
                 aten::unsqueeze         2.10%       5.776ms         2.82%       7.772ms       1.900us           0 b           0 b          4090  
                     aten::empty         2.20%       6.058ms         2.20%       6.058ms       0.485us      13.31 Mb      13.31 Mb         12500  
                    aten::addmm_         2.15%       5.934ms         2.15%       5.934ms       1.463us           0 b           0 b          4056  
                      aten::view         2.15%       5.920ms         2.15%       5.920ms       0.715us           0 b           0 b          8282  
                aten::batch_norm         0.05%     144.623us         0.91%       2.519ms      48.448us      11.69 Mb           0 b            52  
    aten::_batch_norm_impl_index         0.14%     375.228us         0.86%       2.375ms      45.667us      11.69 Mb           0 b            52  
                        aten::mm         0.82%       2.254ms         0.82%       2.254ms      66.304us           0 b           0 b            34  
         aten::native_batch_norm         0.48%       1.320ms         0.71%       1.957ms      37.633us      11.69 Mb     -80.56 Kb            52  
         aten::_nnpack_available         0.47%       1.289ms         0.47%       1.289ms       0.315us           0 b           0 b          4090  
                       aten::cat         0.11%     295.690us         0.46%       1.263ms      78.967us       3.36 Mb           0 b            16  
                      aten::_cat         0.32%     880.409us         0.35%     967.789us      60.487us       3.36 Mb           0 b            16  
                aten::empty_like         0.14%     383.904us         0.23%     636.615us       4.081us      11.77 Mb           0 b           156  
                     aten::relu_         0.05%     149.343us         0.19%     532.555us      15.216us           0 b           0 b            35  
                aten::threshold_         0.14%     383.212us         0.14%     383.212us      10.949us           0 b           0 b            35  
        aten::mkldnn_convolution         0.13%     368.565us         0.14%     376.951us     188.476us       1.53 Mb           0 b             2  
                    aten::linear         0.00%       4.596us         0.10%     280.904us     280.904us       3.91 Kb           0 b             1  
                     aten::addmm         0.10%     261.923us         0.10%     269.206us     269.206us       3.91 Kb       3.91 Kb             1  
                       aten::add         0.05%     125.261us         0.05%     125.261us      12.526us     692.12 Kb     692.12 Kb            10  
                      aten::mean         0.00%       7.069us         0.02%      53.021us      53.021us       5.00 Kb           0 b             1  
                       aten::sum         0.01%      17.675us         0.01%      23.911us      23.911us       5.00 Kb           0 b             1  
                      aten::div_         0.00%      11.647us         0.01%      22.041us      22.041us           0 b          -4 b             1  
                    aten::detach         0.01%      15.582us         0.01%      15.582us       0.458us           0 b           0 b            34  
                     aten::zeros         0.00%       7.736us         0.00%      11.858us      11.858us           4 b           0 b             1  
                        aten::to         0.00%       3.998us         0.00%      10.394us      10.394us           4 b           0 b             1  
                     aten::copy_         0.00%       8.940us         0.00%       8.940us       4.470us           0 b           0 b             2  
                         aten::t         0.00%       4.067us         0.00%       7.102us       7.102us           0 b           0 b             1  
                     aten::fill_         0.00%       3.546us         0.00%       3.546us       3.546us           0 b           0 b             1  
                 aten::transpose         0.00%       1.790us         0.00%       3.035us       3.035us           0 b           0 b             1  
                    aten::expand         0.00%       2.216us         0.00%       2.732us       2.732us           0 b           0 b             1  
               aten::as_strided_         0.00%       1.851us         0.00%       1.851us       0.925us           0 b           0 b             2  
             aten::empty_strided         0.00%       1.488us         0.00%       1.488us       1.488us           4 b           4 b             1  
                     aten::zero_         0.00%       1.283us         0.00%       1.283us       1.283us           0 b           0 b             1  
                  aten::dropout_         0.00%       0.930us         0.00%       0.930us       0.930us           0 b           0 b             1  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 275.632ms
