-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         3.74%       3.397ms        99.99%      90.766ms      90.766ms          -4 b    -110.64 Mb             1  
                     aten::conv2d         0.29%     260.740us        84.34%      76.558ms       1.444ms      54.93 Mb           0 b            53  
                aten::convolution         0.22%     196.547us        84.05%      76.297ms       1.440ms      54.93 Mb           0 b            53  
               aten::_convolution         0.43%     385.977us        83.83%      76.100ms       1.436ms      54.93 Mb           0 b            53  
       aten::_convolution_nogroup         0.16%     145.054us        70.43%      63.934ms       1.937ms      38.66 Mb           0 b            33  
                aten::thnn_conv2d         0.14%     128.648us        70.25%      63.774ms       1.933ms      38.66 Mb           0 b            33  
        aten::thnn_conv2d_forward         0.88%     802.946us        70.11%      63.645ms       1.929ms      38.66 Mb           0 b            33  
                         aten::mm        68.39%      62.082ms        68.39%      62.082ms       1.881ms           0 b           0 b            33  
         aten::mkldnn_convolution        12.71%      11.540ms        12.98%      11.780ms     589.018us      16.27 Mb           0 b            20  
                 aten::batch_norm         0.17%     158.199us         6.42%       5.831ms     110.011us      54.93 Mb           0 b            53  
     aten::_batch_norm_impl_index         0.47%     430.670us         6.25%       5.672ms     107.026us      54.93 Mb           0 b            53  
          aten::native_batch_norm         4.85%       4.402ms         5.72%       5.196ms      98.040us      54.93 Mb    -266.50 Kb            53  
                 aten::max_pool2d         0.01%       5.707us         3.23%       2.931ms       2.931ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         3.21%       2.916ms         3.22%       2.926ms       2.926ms       2.30 Mb           0 b             1  
                      aten::relu_         0.21%     193.324us         1.02%     923.668us      18.850us           0 b           0 b            49  
                      aten::empty         0.89%     804.085us         0.89%     804.085us       2.386us      71.47 Mb      71.47 Mb           337  
                 aten::empty_like         0.35%     313.693us         0.88%     794.513us       4.997us      55.19 Mb           0 b           159  
                 aten::threshold_         0.80%     730.344us         0.80%     730.344us      14.905us           0 b           0 b            49  
                       aten::add_         0.79%     717.359us         0.79%     717.359us      44.835us           0 b           0 b            16  
