-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::unfold         0.97%     147.796us         1.36%     206.837us       2.155us           0 b           0 b            96  
                      aten::empty         1.21%     184.137us         1.21%     184.137us       1.017us       8.94 Mb       8.94 Mb           181  
                 aten::as_strided         1.06%     161.230us         1.06%     161.230us       0.537us           0 b           0 b           300  
                      aten::slice         0.88%     133.547us         1.04%     158.506us       3.302us           0 b           0 b            48  
                 aten::threshold_         0.98%     149.496us         0.98%     149.496us       5.750us           0 b           0 b            26  
                     aten::select         0.80%     121.550us         0.98%     148.762us       2.361us           0 b           0 b            63  
                    aten::resize_         0.76%     115.188us         0.76%     115.188us       1.828us      15.37 Mb      15.37 Mb            63  
                    aten::reshape         0.46%      70.412us         0.70%     105.712us       2.349us           0 b           0 b            45  
                     aten::expand         0.51%      78.107us         0.68%     103.618us       2.159us           0 b           0 b            48  
                      aten::copy_         0.66%     100.883us         0.66%     100.883us       4.035us           0 b           0 b            25  
                     aten::narrow         0.17%      25.459us         0.61%      92.561us       3.857us           0 b           0 b            24  
                       aten::view         0.58%      87.847us         0.58%      87.847us       0.744us           0 b           0 b           118  
                  aten::expand_as         0.21%      31.314us         0.50%      75.273us       3.136us           0 b           0 b            24  
        aten::adaptive_avg_pool2d         0.02%       2.736us         0.38%      57.984us      57.984us       3.91 Kb           0 b             1  
                       aten::mean         0.08%      11.394us         0.36%      55.248us      55.248us       3.91 Kb           0 b             1  
                  aten::unsqueeze         0.23%      34.370us         0.28%      43.236us       2.059us           0 b           0 b            21  
                         aten::to         0.20%      29.875us         0.23%      34.516us       0.704us           4 b           0 b            49  
                        aten::sum         0.12%      17.666us         0.15%      23.364us      23.364us       3.91 Kb           0 b             1  
                       aten::div_         0.08%      11.907us         0.13%      20.490us      20.490us           0 b          -4 b             1  
                      aten::alias         0.11%      16.009us         0.11%      16.009us       0.667us           0 b           0 b            24  
                      aten::zeros         0.05%       6.859us         0.07%      10.704us      10.704us           4 b           0 b             1  
          aten::_nnpack_available         0.05%       8.206us         0.05%       8.206us       0.391us           0 b           0 b            21  
                    aten::flatten         0.03%       4.186us         0.05%       7.142us       7.142us           0 b           0 b             1  
                     aten::detach         0.04%       6.257us         0.04%       6.257us       0.368us           0 b           0 b            17  
                aten::as_strided_         0.03%       4.571us         0.03%       4.571us       0.914us           0 b           0 b             5  
                      aten::fill_         0.02%       3.511us         0.02%       3.511us       3.511us           0 b           0 b             1  
              aten::empty_strided         0.01%       1.669us         0.01%       1.669us       1.669us           4 b           4 b             1  
                    aten::dropout         0.01%       1.091us         0.01%       1.091us       1.091us           0 b           0 b             1  
                      aten::zero_         0.01%       0.888us         0.01%       0.888us       0.888us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.181ms
