-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         aten::mm        18.47%      17.452ms        18.47%      17.452ms     205.319us           0 b           0 b            85  
                        aten::cat         0.47%     443.749us        12.02%      11.354ms     132.024us      51.90 Mb           0 b            86  
                       aten::_cat         6.14%       5.796ms        11.55%      10.910ms     126.864us      51.90 Mb           0 b            86  
                    aten::scatter         0.41%     383.751us         8.40%       7.936ms      48.389us      25.82 Mb           0 b           164  
                        aten::add         8.24%       7.789ms         8.24%       7.789ms      30.666us      78.73 Mb      78.73 Mb           254  
                 aten::batch_norm         0.42%     392.643us         7.17%       6.773ms      78.756us      51.90 Mb           0 b            86  
         aten::mkldnn_convolution         6.79%       6.413ms         6.96%       6.572ms     131.447us       3.62 Mb           0 b            50  
     aten::_batch_norm_impl_index         0.34%     317.767us         6.75%       6.380ms      74.190us      51.90 Mb           0 b            86  
          aten::native_batch_norm         5.61%       5.300ms         6.36%       6.007ms      69.850us      51.90 Mb    -536.25 Kb            86  
                     aten::narrow         1.07%       1.014ms         5.15%       4.863ms       3.922us           0 b           0 b          1240  
                      aten::slice         4.43%       4.183ms         5.05%       4.774ms       3.204us           0 b           0 b          1490  
                      aten::clone         0.75%     711.340us         4.45%       4.200ms      25.611us      25.82 Mb           0 b           164  
                  aten::unsqueeze         2.85%       2.691ms         3.64%       3.442ms       4.402us           0 b           0 b           782  
                   aten::scatter_         3.55%       3.352ms         3.55%       3.352ms      20.437us           0 b           0 b           164  
                 aten::max_pool2d         0.01%       5.854us         3.38%       3.194ms       3.194ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         3.37%       3.181ms         3.37%       3.188ms       3.188ms       2.30 Mb           0 b             1  
                      aten::copy_         3.14%       2.964ms         3.14%       2.964ms      17.853us           0 b           0 b           166  
                 aten::as_strided         1.91%       1.807ms         1.91%       1.807ms       0.578us           0 b           0 b          3128  
                      aten::relu_         0.71%     669.956us         1.78%       1.683ms       9.957us           0 b           0 b           169  
                     aten::expand         1.45%       1.374ms         1.76%       1.665ms       4.013us           0 b           0 b           415  
                  aten::expand_as         0.28%     268.073us         1.24%       1.169ms       4.678us           0 b           0 b           250  
                 aten::threshold_         1.07%       1.013ms         1.07%       1.013ms       5.993us           0 b           0 b           169  
                     aten::select         0.80%     759.473us         0.99%     932.480us       2.119us           0 b           0 b           440  
                     aten::addmm_         0.99%     932.101us         0.99%     932.101us      28.245us           0 b           0 b            33  
                      aten::empty         0.81%     764.815us         0.81%     764.815us       0.907us      56.05 Mb      56.05 Mb           843  
                 aten::empty_like         0.37%     352.796us         0.75%     707.251us       2.741us      52.42 Mb           0 b           258  
              aten::empty_strided         0.56%     532.795us         0.56%     532.795us       3.229us      25.82 Mb      25.82 Mb           165  
                    aten::resize_         0.48%     456.579us         0.48%     456.579us       1.887us      72.40 Mb      72.40 Mb           242  
                       aten::view         0.37%     350.400us         0.37%     350.400us       0.712us           0 b           0 b           492  
                     aten::linear         0.01%       5.088us         0.36%     342.982us     342.982us       3.91 Kb           0 b             1  
                      aten::addmm         0.34%     324.888us         0.35%     330.957us     330.957us       3.91 Kb       3.91 Kb             1  
                    aten::reshape         0.19%     176.068us         0.26%     246.359us       2.088us           0 b           0 b           118  
                 aten::avg_pool2d         0.21%     197.175us         0.22%     205.550us      68.517us     710.50 Kb           0 b             3  
          aten::_nnpack_available         0.05%      50.275us         0.05%      50.275us       0.426us           0 b           0 b           118  
        aten::adaptive_avg_pool2d         0.00%       3.130us         0.05%      47.297us      47.297us       6.50 Kb           0 b             1  
                       aten::mean         0.01%       6.196us         0.05%      44.167us      44.167us       6.50 Kb           0 b             1  
                aten::as_strided_         0.04%      35.426us         0.04%      35.426us       0.709us           0 b           0 b            50  
                     aten::detach         0.03%      32.616us         0.03%      32.616us       0.384us           0 b           0 b            85  
                        aten::sum         0.02%      15.114us         0.02%      19.971us      19.971us       6.50 Kb           0 b             1  
                       aten::div_         0.01%      10.545us         0.02%      18.000us      18.000us           0 b          -4 b             1  
                      aten::zeros         0.01%       7.009us         0.01%      11.040us      11.040us           4 b           0 b             1  
                         aten::to         0.00%       3.362us         0.01%       7.455us       7.455us           4 b           0 b             1  
                          aten::t         0.00%       4.134us         0.01%       6.937us       6.937us           0 b           0 b             1  
                    aten::flatten         0.00%       2.475us         0.01%       5.460us       5.460us           0 b           0 b             1  
                      aten::fill_         0.00%       3.117us         0.00%       3.117us       3.117us           0 b           0 b             1  
                  aten::transpose         0.00%       1.976us         0.00%       2.803us       2.803us           0 b           0 b             1  
                      aten::zero_         0.00%       1.009us         0.00%       1.009us       1.009us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 94.479ms
