-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.22%     911.118us        99.98%      74.691ms      74.691ms          -4 b     -57.65 Mb             1  
                     aten::conv2d         0.09%      68.014us        56.28%      42.044ms       3.234ms      51.68 Mb           0 b            13  
                aten::convolution         0.09%      64.475us        56.19%      41.976ms       3.229ms      51.68 Mb           0 b            13  
               aten::_convolution         0.15%     112.538us        56.10%      41.911ms       3.224ms      51.68 Mb           0 b            13  
         aten::mkldnn_convolution        55.86%      41.731ms        55.95%      41.799ms       3.215ms      51.68 Mb           0 b            13  
                     aten::linear         0.02%      15.343us        22.77%      17.012ms       5.671ms      35.91 Kb           0 b             3  
                      aten::addmm        22.67%      16.939ms        22.71%      16.968ms       5.656ms      35.91 Kb      35.91 Kb             3  
                 aten::max_pool2d         0.07%      49.724us        18.11%      13.528ms       2.706ms       5.84 Mb     -11.68 Mb             5  
    aten::max_pool2d_with_indices        18.00%      13.444ms        18.04%      13.478ms       2.696ms      17.51 Mb           0 b             5  
                      aten::relu_         0.10%      71.139us         1.54%       1.153ms      76.885us           0 b           0 b            15  
                 aten::threshold_         1.45%       1.082ms         1.45%       1.082ms      72.143us           0 b           0 b            15  
                      aten::empty         0.09%      68.927us         0.09%      68.927us       2.377us      51.68 Mb      51.68 Mb            29  
        aten::adaptive_avg_pool2d         0.00%       2.320us         0.04%      28.906us      28.906us      98.00 Kb           0 b             1  
                          aten::t         0.02%      12.295us         0.04%      28.809us       9.603us           0 b           0 b             3  
                    aten::resize_         0.04%      27.801us         0.04%      27.801us       2.527us      17.61 Mb      17.61 Mb            11  
       aten::_adaptive_avg_pool2d         0.03%      24.075us         0.04%      26.586us      26.586us      98.00 Kb           0 b             1  
                      aten::copy_         0.03%      19.896us         0.03%      19.896us       6.632us           0 b           0 b             3  
                  aten::transpose         0.02%      11.851us         0.02%      16.514us       5.505us           0 b           0 b             3  
                aten::as_strided_         0.02%      14.589us         0.02%      14.589us       1.122us           0 b           0 b            13  
                      aten::zeros         0.01%       7.201us         0.02%      11.775us      11.775us           4 b           0 b             1  
