-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    aten::max_pool2d_with_indices         3.32%       2.763ms         3.33%       2.770ms       2.770ms       2.30 Mb           0 b             1  
            aten::constant_pad_nd         0.60%     495.581us         3.32%       2.760ms      50.177us      29.63 Mb           0 b            55  
                      aten::fill_         1.66%       1.385ms         1.66%       1.385ms      24.730us           0 b           0 b            56  
                     aten::addmm_         1.53%       1.270ms         1.53%       1.270ms     634.856us           0 b           0 b             2  
                      aten::relu_         0.48%     395.460us         1.52%       1.266ms       8.381us           0 b           0 b           151  
                       aten::add_         1.05%     873.163us         1.05%     873.163us      17.463us           0 b           0 b            50  
                 aten::threshold_         1.05%     870.073us         1.05%     870.073us       5.762us           0 b           0 b           151  
                     aten::select         0.57%     472.545us         0.73%     603.430us       1.953us           0 b           0 b           309  
                      aten::empty         0.71%     594.171us         0.71%     594.171us       1.246us      97.63 Mb      97.63 Mb           477  
                      aten::copy_         0.59%     489.528us         0.59%     489.528us       8.588us           0 b           0 b            57  
                      aten::slice         0.40%     331.273us         0.47%     394.181us       3.583us           0 b           0 b           110  
                       aten::view         0.45%     375.891us         0.45%     375.891us       0.665us           0 b           0 b           565  
                     aten::linear         0.01%       4.733us         0.42%     352.357us     352.357us       3.91 Kb           0 b             1  
                      aten::addmm         0.40%     334.721us         0.41%     340.646us     340.646us       3.91 Kb       3.91 Kb             1  
                    aten::reshape         0.25%     205.671us         0.39%     326.388us       2.066us           0 b           0 b           158  
                 aten::as_strided         0.32%     269.754us         0.32%     269.754us       0.466us           0 b           0 b           579  
                 aten::is_nonzero         0.10%      83.253us         0.29%     243.008us       4.418us           0 b           0 b            55  
                     aten::narrow         0.08%      64.162us         0.26%     212.419us       3.862us           0 b           0 b            55  
                    aten::resize_         0.24%     200.444us         0.24%     200.444us       1.873us      37.13 Mb      37.13 Mb           107  
                  aten::unsqueeze         0.16%     129.345us         0.20%     168.016us       1.631us           0 b           0 b           103  
                       aten::item         0.09%      72.232us         0.19%     159.755us       2.905us           0 b           0 b            55  
        aten::_local_scalar_dense         0.11%      87.523us         0.11%      87.523us       1.591us           0 b           0 b            55  
        aten::adaptive_avg_pool2d         0.01%       4.954us         0.06%      49.981us      49.981us       8.00 Kb           0 b             1  
                       aten::mean         0.01%       6.344us         0.05%      45.027us      45.027us       8.00 Kb           0 b             1  
                         aten::to         0.04%      36.074us         0.05%      40.381us       0.721us           4 b           0 b            56  
          aten::_nnpack_available         0.05%      38.327us         0.05%      38.327us       0.372us           0 b           0 b           103  
                     aten::detach         0.04%      35.406us         0.04%      35.406us       0.351us           0 b           0 b           101  
                aten::as_strided_         0.04%      35.352us         0.04%      35.352us       0.680us           0 b           0 b            52  
                       aten::div_         0.01%      11.612us         0.02%      19.634us      19.634us           0 b          -4 b             1  
                        aten::sum         0.02%      14.990us         0.02%      19.049us      19.049us       8.00 Kb           0 b             1  
                      aten::zeros         0.01%       7.109us         0.01%      11.221us      11.221us           4 b           0 b             1  
                          aten::t         0.01%       4.227us         0.01%       6.978us       6.978us           0 b           0 b             1  
                    aten::flatten         0.00%       2.719us         0.01%       5.628us       5.628us           0 b           0 b             1  
                  aten::transpose         0.00%       1.832us         0.00%       2.751us       2.751us           0 b           0 b             1  
                     aten::expand         0.00%       2.033us         0.00%       2.396us       2.396us           0 b           0 b             1  
              aten::empty_strided         0.00%       1.498us         0.00%       1.498us       1.498us           4 b           4 b             1  
                      aten::zero_         0.00%       1.120us         0.00%       1.120us       1.120us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 83.185ms
